Modul;Credits;Note
Management Basics;10;1,7
Wirtschaftsinformatik Basics;5;2,3
Mathematische Grundlagen der Informatik;5;2
Konzepte des prozeduralen Programmierens;7;2,3
Datenbankmanagement;7;1,3
E-Business;5;1,3
Quantitative Methoden der Informatik;5;1,7
Konzepte des objektorientierten Programmierens;6;2,7
Fallstudie/Wissenschaftliches Arbeiten;5;1,3
IT- & Medienrecht;5;1
Big Data & Data Science;5;2,3
IT-Infrastruktur;8;2
Konzepte des scriptsprachenorientierten Programmierens;7;1,7
Verteilte Systeme;5;1,3
IT-Management;5;1,3
Projektmanagement;5;1,0
Algorithmen;8;1,0
Geschaeftsprozessmodellierung;5;1,3
Verhandlungsfuerhung;5;1,3
Betriebssysteme;6;1,0
Web Technologie;5;1,3
IT-Trends;5;1,3
Software Engineering;7;1,7
ERP-Systeme;7;1,7
Anwendungsprojekt;5;1,0
Embedded Systems;7;1,0
